,model,group,statistical parity,predictive parity,negative predictive parity,equal opportunity,predictive equality,overall accuracy equality,treatment equality
0,DecisionTreeClassifier,priv,0.3169409677737262,0.6147388059701493,0.8317703073149618,0.6290168628698696,0.17689891490576815,0.7629841332413522,0.47683815570225496
1,DecisionTreeClassifier,unpriv,0.12253205780582128,0.5149501661129569,0.9427047088842496,0.5565529622980251,0.06703397612488522,0.8902910645226949,0.15116568705085454
2,RandomForestClassifier,priv,0.2729870897802306,0.7151624548736462,0.84248339433374,0.6302895322939867,0.11264991433466591,0.8077264216024441,0.304697659857018
3,RandomForestClassifier,unpriv,0.08731935680846734,0.710955710955711,0.943800178412132,0.547576301615799,0.028466483011937556,0.9234683492774273,0.06291996443511594
4,SVC,priv,0.2517000098551296,0.7533281127642913,0.8394573949690505,0.6121539930003181,0.08994860079954312,0.8177786537892974,0.23191833659800162
5,SVC,unpriv,0.07592102584978629,0.7882037533512064,0.9420704845814978,0.5278276481149012,0.018135904499540865,0.9303887645023408,0.038409501164426846
6,AdaBoostClassifier,priv,0.26480733221641867,0.7487904726460737,0.8483914209115282,0.6401527203308941,0.09637350085665335,0.8220163595151276,0.2678177835477113
7,AdaBoostClassifier,unpriv,0.07286790148585386,0.7905027932960894,0.9398463227222832,0.5080789946140036,0.01721763085399449,0.9289639731325056,0.03500080432728077
8,KNeighborsClassifier,priv,0.2872770276929142,0.6644939965694683,0.8332411504424779,0.6162901686286987,0.13963449457452884,0.7847639696462009,0.3639064812999537
9,KNeighborsClassifier,unpriv,0.09423977203338083,0.6479481641468683,0.942247191011236,0.5385996409335727,0.03741965105601469,0.9145125178098922,0.08110017758054545
10,GaussianNB,priv,0.7043461121513748,0.41178116692318456,0.9333333333333333,0.9363665287941457,0.6002284408909194,0.5659800926382182,9.4325899486008
11,GaussianNB,unpriv,0.5261550987176877,0.19574468085106383,0.9780927835051546,0.9084380610412927,0.4772727272727273,0.5664563403215958,5.212566844919786
12,XGBClassifier,priv,0.2710160638612398,0.7698181818181818,0.8612951196430986,0.6735602927139676,0.09037692747001713,0.8365034000197102,0.27685641621663143
13,XGBClassifier,unpriv,0.08894768980256462,0.7780320366132724,0.9515192135835567,0.6104129263913824,0.02226813590449954,0.9360879299816812,0.057158302759475775
