,model,group,statistical parity,predictive parity,negative predictive parity,equal opportunity,predictive equality,overall accuracy equality,treatment equality
0,DecisionTreeClassifier,priv,0.2542372881355932,0.4888888888888889,0.7878787878787878,0.44,0.18110236220472442,0.711864406779661,0.32339707536557927
1,DecisionTreeClassifier,unpriv,0.2876712328767123,0.42857142857142855,0.75,0.4090909090909091,0.23529411764705882,0.6575342465753424,0.39819004524886875
2,RandomForestClassifier,priv,0.1751412429378531,0.6451612903225806,0.7945205479452054,0.4,0.08661417322834646,0.768361581920904,0.14435695538057744
3,RandomForestClassifier,unpriv,0.1780821917808219,0.6153846153846154,0.7666666666666667,0.36363636363636365,0.09803921568627451,0.7397260273972602,0.15406162464985995
4,SVC,priv,0.13559322033898305,0.7083333333333334,0.7843137254901961,0.34,0.05511811023622047,0.7740112994350282,0.08351228823669768
5,SVC,unpriv,0.1780821917808219,0.6923076923076923,0.7833333333333333,0.4090909090909091,0.0784313725490196,0.7671232876712328,0.13273001508295626
6,AdaBoostClassifier,priv,0.2598870056497175,0.5652173913043478,0.816793893129771,0.52,0.15748031496062992,0.751412429378531,0.32808398950131235
7,AdaBoostClassifier,unpriv,0.2465753424657534,0.3888888888888889,0.7272727272727273,0.3181818181818182,0.21568627450980393,0.6438356164383562,0.3163398692810458
8,KNeighborsClassifier,priv,0.15819209039548024,0.6428571428571429,0.785234899328859,0.36,0.07874015748031496,0.7627118644067796,0.12303149606299212
9,KNeighborsClassifier,unpriv,0.2054794520547945,0.6666666666666666,0.7931034482758621,0.45454545454545453,0.09803921568627451,0.7671232876712328,0.17973856209150327
10,GaussianNB,priv,0.4350282485875706,0.4805194805194805,0.87,0.74,0.31496062992125984,0.7005649717514124,1.2113870381586918
11,GaussianNB,unpriv,0.4383561643835616,0.5625,0.9024390243902439,0.8181818181818182,0.27450980392156865,0.7534246575342466,1.5098039215686276
12,XGBClassifier,priv,0.1864406779661017,0.696969696969697,0.8125,0.46,0.07874015748031496,0.7909604519774012,0.14581510644502768
13,XGBClassifier,unpriv,0.273972602739726,0.5,0.7735849056603774,0.45454545454545453,0.19607843137254902,0.6986301369863014,0.35947712418300654
