,model,group,statistical parity,predictive parity,negative predictive parity,equal opportunity,predictive equality,overall accuracy equality,treatment equality
0,DecisionTreeClassifier,priv,0.6607142857142857,0.6486486486486487,0.631578947368421,0.7741935483870968,0.52,0.6428571428571429,2.302857142857143
1,DecisionTreeClassifier,unpriv,0.25,0.6,0.8,0.5,0.14285714285714285,0.75,0.2857142857142857
2,RandomForestClassifier,priv,0.5357142857142857,0.8666666666666667,0.8076923076923077,0.8387096774193549,0.16,0.8392857142857143,0.992
3,RandomForestClassifier,unpriv,0.25,1.0,0.9333333333333333,0.8333333333333334,0.0,0.95,0.0
4,SVC,priv,0.5892857142857143,0.8181818181818182,0.8260869565217391,0.8709677419354839,0.24,0.8214285714285714,1.8599999999999999
5,SVC,unpriv,0.2,1.0,0.875,0.6666666666666666,0.0,0.9,0.0
6,AdaBoostClassifier,priv,0.5535714285714286,0.8064516129032258,0.76,0.8064516129032258,0.24,0.7857142857142857,1.24
7,AdaBoostClassifier,unpriv,0.2,1.0,0.875,0.6666666666666666,0.0,0.9,0.0
8,KNeighborsClassifier,priv,0.5,0.8571428571428571,0.75,0.7741935483870968,0.16,0.8035714285714286,0.7085714285714286
9,KNeighborsClassifier,unpriv,0.15,0.6666666666666666,0.7647058823529411,0.3333333333333333,0.07142857142857142,0.75,0.10714285714285714
10,GaussianNB,priv,0.5178571428571429,0.8620689655172413,0.7777777777777778,0.8064516129032258,0.16,0.8214285714285714,0.8266666666666667
11,GaussianNB,unpriv,0.4,0.625,0.9166666666666666,0.8333333333333334,0.21428571428571427,0.8,1.2857142857142858
12,XGBClassifier,priv,0.6071428571428571,0.7647058823529411,0.7727272727272727,0.8387096774193549,0.32,0.7678571428571429,1.984
13,XGBClassifier,unpriv,0.15,1.0,0.8235294117647058,0.5,0.0,0.85,0.0
