,model,group,statistical parity,predictive parity,negative predictive parity,equal opportunity,predictive equality,overall accuracy equality,treatment equality
0,DecisionTreeClassifier,priv,0.6111111111111112,1.0,1.0,1.0,0.0,1.0,
1,DecisionTreeClassifier,unpriv,0.4166666666666667,1.0,1.0,1.0,0.0,1.0,
2,RandomForestClassifier,priv,0.6111111111111112,1.0,1.0,1.0,0.0,1.0,
3,RandomForestClassifier,unpriv,0.4166666666666667,1.0,1.0,1.0,0.0,1.0,
4,SVC,priv,0.6111111111111112,0.9090909090909091,0.8571428571428571,0.9090909090909091,0.14285714285714285,0.8888888888888888,1.5714285714285714
5,SVC,unpriv,0.3333333333333333,1.0,0.875,0.8,0.0,0.9166666666666666,0.0
6,AdaBoostClassifier,priv,0.6111111111111112,1.0,1.0,1.0,0.0,1.0,
7,AdaBoostClassifier,unpriv,0.4166666666666667,1.0,1.0,1.0,0.0,1.0,
8,KNeighborsClassifier,priv,0.5555555555555556,0.9,0.75,0.8181818181818182,0.14285714285714285,0.8333333333333334,0.7857142857142857
9,KNeighborsClassifier,unpriv,0.4166666666666667,1.0,1.0,1.0,0.0,1.0,
10,GaussianNB,priv,0.7222222222222222,0.8461538461538461,1.0,1.0,0.2857142857142857,0.8888888888888888,inf
11,GaussianNB,unpriv,0.3333333333333333,1.0,0.875,0.8,0.0,0.9166666666666666,0.0
12,XGBClassifier,priv,0.6111111111111112,1.0,1.0,1.0,0.0,1.0,
13,XGBClassifier,unpriv,0.4166666666666667,1.0,1.0,1.0,0.0,1.0,
