,model,group,statistical parity,predictive parity,negative predictive parity,equal opportunity,predictive equality,overall accuracy equality,treatment equality
0,DecisionTreeClassifier,priv,0.3584905660377358,0.5789473684210527,0.6176470588235294,0.4583333333333333,0.27586206896551724,0.6037735849056604,0.5092838196286472
1,DecisionTreeClassifier,unpriv,0.09090909090909091,0.5,0.7,0.14285714285714285,0.06666666666666667,0.6818181818181818,0.07777777777777778
2,RandomForestClassifier,priv,0.3584905660377358,0.7368421052631579,0.7058823529411765,0.5833333333333334,0.1724137931034483,0.7169811320754716,0.41379310344827586
3,RandomForestClassifier,unpriv,0.18181818181818182,0.75,0.7777777777777778,0.42857142857142855,0.06666666666666667,0.7727272727272727,0.11666666666666667
4,SVC,priv,0.2641509433962264,0.8571428571428571,0.6923076923076923,0.5,0.06896551724137931,0.7358490566037735,0.13793103448275862
5,SVC,unpriv,0.22727272727272727,0.6,0.7647058823529411,0.42857142857142855,0.13333333333333333,0.7272727272727273,0.23333333333333334
6,AdaBoostClassifier,priv,0.37735849056603776,0.7,0.696969696969697,0.5833333333333334,0.20689655172413793,0.6981132075471698,0.496551724137931
7,AdaBoostClassifier,unpriv,0.13636363636363635,0.6666666666666666,0.7368421052631579,0.2857142857142857,0.06666666666666667,0.7272727272727273,0.09333333333333332
8,KNeighborsClassifier,priv,0.16981132075471697,0.8888888888888888,0.6363636363636364,0.3333333333333333,0.034482758620689655,0.6792452830188679,0.05172413793103448
9,KNeighborsClassifier,unpriv,0.09090909090909091,1.0,0.75,0.2857142857142857,0.0,0.7727272727272727,0.0
10,GaussianNB,priv,0.20754716981132076,0.7272727272727273,0.6190476190476191,0.3333333333333333,0.10344827586206896,0.6415094339622641,0.15517241379310345
11,GaussianNB,unpriv,0.18181818181818182,0.75,0.7777777777777778,0.42857142857142855,0.06666666666666667,0.7727272727272727,0.11666666666666667
12,XGBClassifier,priv,0.4339622641509434,0.6956521739130435,0.7333333333333333,0.6666666666666666,0.2413793103448276,0.7169811320754716,0.7241379310344829
13,XGBClassifier,unpriv,0.09090909090909091,0.5,0.7,0.14285714285714285,0.06666666666666667,0.6818181818181818,0.07777777777777778
