,model,group,statistical parity,predictive parity,negative predictive parity,equal opportunity,predictive equality,overall accuracy equality,treatment equality
0,DecisionTreeClassifier,priv,0.9344262295081968,0.8070175438596491,0.25,0.9387755102040817,0.9166666666666666,0.7704918032786885,14.972222222222221
1,DecisionTreeClassifier,unpriv,0.9019607843137255,0.967391304347826,0.5,0.9468085106382979,0.375,0.9215686274509803,7.05
2,RandomForestClassifier,priv,0.9836065573770492,0.8166666666666667,1.0,1.0,0.9166666666666666,0.819672131147541,inf
3,RandomForestClassifier,unpriv,0.9803921568627451,0.92,0.0,0.9787234042553191,1.0,0.9019607843137255,47.0
4,SVC,priv,0.9508196721311475,0.8275862068965517,0.6666666666666666,0.9795918367346939,0.8333333333333334,0.819672131147541,40.833333333333336
5,SVC,unpriv,0.9705882352941176,0.9393939393939394,0.6666666666666666,0.9893617021276596,0.75,0.9313725490196079,70.5
6,AdaBoostClassifier,priv,0.8360655737704918,0.8235294117647058,0.3,0.8571428571428571,0.75,0.7377049180327869,5.25
7,AdaBoostClassifier,unpriv,0.9313725490196079,0.9473684210526315,0.42857142857142855,0.9574468085106383,0.625,0.9117647058823529,14.6875
8,KNeighborsClassifier,priv,0.9344262295081968,0.8070175438596491,0.25,0.9387755102040817,0.9166666666666666,0.7704918032786885,14.972222222222221
9,KNeighborsClassifier,unpriv,0.9705882352941176,0.9393939393939394,0.6666666666666666,0.9893617021276596,0.75,0.9313725490196079,70.5
10,GaussianNB,priv,0.7868852459016393,0.8958333333333334,0.5384615384615384,0.8775510204081632,0.4166666666666667,0.819672131147541,3.402777777777778
11,GaussianNB,unpriv,0.8235294117647058,0.9404761904761905,0.16666666666666666,0.8404255319148937,0.625,0.803921568627451,3.9166666666666665
12,XGBClassifier,priv,0.8524590163934426,0.8269230769230769,0.3333333333333333,0.8775510204081632,0.75,0.7540983606557377,6.125
13,XGBClassifier,unpriv,0.9313725490196079,0.9578947368421052,0.5714285714285714,0.9680851063829787,0.5,0.9313725490196079,15.666666666666668
